  I  J
 13 39
 14 39
 15 39
 16 39
 17 39
 18 39
 19 39
 20 39
 21 39
 22 39
 23 39
 24 39
 25 39
 26 39
 27 39
 28 39
 29 39
 30 39
 31 39
 32 39
 33 39
 34 39
 35 39
 36 39
 37 39
 43 39
 63 39
 64 39
 65 39
 66 39
 67 39
 68 39
 69 39
 70 39
 71 39
 72 39
 73 39
 74 39
 77 39
 78 39
 79 39
 80 39
 81 39
  5 40
  8 40
  9 40
 10 40
 11 40
 12 40
 13 40
 14 40
 15 40
 16 40
 17 40
 18 40
 19 40
 20 40
 21 40
 22 40
 23 40
 24 40
 25 40
 26 40
 27 40
 28 40
 29 40
 30 40
 31 40
 32 40
 33 40
 34 40
 35 40
 36 40
 37 40
 62 40
 63 40
 64 40
 65 40
 66 40
 67 40
 68 40
 69 40
 70 40
 71 40
 72 40
 77 40
 78 40
 79 40
 80 40
  3 41
  4 41
  5 41
  9 41
 10 41
 11 41
 12 41
 13 41
 14 41
 15 41
 16 41
 17 41
 18 41
 19 41
 20 41
 21 41
 22 41
 23 41
 24 41
 25 41
 26 41
 27 41
 28 41
 29 41
 30 41
 31 41
 32 41
 33 41
 34 41
 35 41
 36 41
 37 41
 38 41
 39 41
 40 41
 41 41
 42 41
 45 41
 54 41
 55 41
 56 41
 57 41
 59 41
 60 41
 61 41
 62 41
 63 41
 64 41
 65 41
 66 41
 67 41
 68 41
 69 41
 70 41
 71 41
 77 41
  5 42
  6 42
  8 42
  9 42
 10 42
 12 42
 13 42
 14 42
 15 42
 16 42
 17 42
 18 42
 19 42
 20 42
 21 42
 22 42
 23 42
 24 42
 25 42
 26 42
 27 42
 28 42
 29 42
 30 42
 31 42
 32 42
 33 42
 34 42
 35 42
 36 42
 37 42
 38 42
 39 42
 40 42
 41 42
 42 42
 43 42
 44 42
 45 42
 46 42
 47 42
 48 42
 54 42
 55 42
 56 42
 57 42
 58 42
 59 42
 60 42
 61 42
 62 42
 63 42
 64 42
 65 42
 66 42
 67 42
 68 42
 69 42
 70 42
 71 42
 72 42
 73 42
 78 42
 79 42
 84 42
  7 43
  8 43
  9 43
 10 43
 18 43
 19 43
 20 43
 21 43
 22 43
 23 43
 24 43
 25 43
 26 43
 27 43
 28 43
 29 43
 30 43
 31 43
 32 43
 33 43
 34 43
 35 43
 36 43
 37 43
 38 43
 39 43
 40 43
 41 43
 42 43
 43 43
 44 43
 45 43
 46 43
 47 43
 48 43
 54 43
 55 43
 56 43
 57 43
 58 43
 59 43
 60 43
 61 43
 62 43
 63 43
 64 43
 65 43
 66 43
 67 43
 68 43
 69 43
 72 43
 75 43
 78 43
 83 43
 84 43
 23 44
 24 44
 25 44
 26 44
 27 44
 28 44
 29 44
 30 44
 31 44
 32 44
 33 44
 66 44
 74 44
 75 44
 76 44
 83 44
 29 45
 74 45
 75 45
 73 46
 74 46
 75 46
 76 46
 80 46
